date,hour,type,1246A,1247A,1248A,date,hour,type,1246A,1247A,1248A,date,hour,type,1246A,1247A,1248A,date,hour,type,1246A,1247A,date,hour,type,1246A,1247A,1248A
20191221,0,AQI,87,84,,20191222,0,AQI,33,32,,20191223,0,AQI,46,42,,20191224,0,AQI,25,19,20191225,0,AQI,46,57,
20191221,0,PM2.5,64,62,,20191222,0,PM2.5,15,22,,20191223,0,PM2.5,32,29,,20191224,0,PM2.5,17,13,20191225,0,PM2.5,30,40,
20191221,0,PM2.5_24h,47,47,,20191222,0,PM2.5_24h,28,25,,20191223,0,PM2.5_24h,16,18,,20191224,0,PM2.5_24h,30,31,20191225,0,PM2.5_24h,15,15,
20191221,0,PM10,91,82,,20191222,0,PM10,17,27,,20191223,0,PM10,46,28,,20191224,0,PM10,24,19,20191225,0,PM10,46,57,
20191221,0,PM10_24h,71,65,,20191222,0,PM10_24h,36,35,,20191223,0,PM10_24h,19,20,,20191224,0,PM10_24h,42,38,20191225,0,PM10_24h,22,22,
20191221,0,SO2,14,8,,20191222,0,SO2,2,6,,20191223,0,SO2,7,5,,20191224,0,SO2,3,5,20191225,0,SO2,3,4,
20191221,0,SO2_24h,7,10,,20191222,0,SO2_24h,5,7,,20191223,0,SO2_24h,2,6,,20191224,0,SO2_24h,4,8,20191225,0,SO2_24h,3,5,
20191221,0,NO2,69,63,,20191222,0,NO2,66,58,,20191223,0,NO2,57,43,,20191224,0,NO2,30,22,20191225,0,NO2,36,52,
20191221,0,NO2_24h,66,60,,20191222,0,NO2_24h,68,60,,20191223,0,NO2_24h,53,49,,20191224,0,NO2_24h,50,43,20191225,0,NO2_24h,32,27,
20191221,0,O3,3,,,20191222,0,O3,2,,,20191223,0,O3,3,,,20191224,0,O3,45,47,20191225,0,O3,24,6,
20191221,0,O3_24h,6,4,,20191222,0,O3_24h,9,1,,20191223,0,O3_24h,15,17,,20191224,0,O3_24h,48,47,20191225,0,O3_24h,60,57,
20191221,0,O3_8h,3,,,20191222,0,O3_8h,4,,,20191223,0,O3_8h,4,1,,20191224,0,O3_8h,35,35,20191225,0,O3_8h,33,27,
20191221,0,O3_8h_24h,5,3,,20191222,0,O3_8h_24h,4,,,20191223,0,O3_8h_24h,10,9,,20191224,0,O3_8h_24h,35,35,20191225,0,O3_8h_24h,52,51,
20191221,0,CO,1,1.1,,20191222,0,CO,1,1.4,,20191223,0,CO,1.2,0.9,,20191224,0,CO,1,0.7,20191225,0,CO,0.9,0.5,
20191221,0,CO_24h,0.9,1,,20191222,0,CO_24h,1,1.2,,20191223,0,CO_24h,1,0.9,,20191224,0,CO_24h,1.1,1,20191225,0,CO_24h,0.8,0.6,
20191221,1,AQI,80,79,,20191222,1,AQI,31,29,,20191223,1,AQI,46,43,,20191224,1,AQI,23,18,20191225,1,AQI,48,63,
20191221,1,PM2.5,59,58,,20191222,1,PM2.5,15,17,,20191223,1,PM2.5,32,30,,20191224,1,PM2.5,16,12,20191225,1,PM2.5,32,45,
20191221,1,PM2.5_24h,48,49,,20191222,1,PM2.5_24h,26,23,,20191223,1,PM2.5_24h,16,18,,20191224,1,PM2.5_24h,29,30,20191225,1,PM2.5_24h,16,16,
20191221,1,PM10,80,79,,20191222,1,PM10,18,23,,20191223,1,PM10,44,29,,20191224,1,PM10,22,18,20191225,1,PM10,48,64,
20191221,1,PM10_24h,72,67,,20191222,1,PM10_24h,33,33,,20191223,1,PM10_24h,20,21,,20191224,1,PM10_24h,41,38,20191225,1,PM10_24h,23,24,
